url,title,media,height_cm,width_cm,price_gbp
https://www.bearspace.co.uk/product-page/from-steep-to-steep-by-jane-ward,From Steep to Steep by Jane Ward,,1063,1417,640.0
https://www.bearspace.co.uk/product-page/those-hidden-ravines-by-jane-ward,Those Hidden Ravines by Jane Ward,,886,1181,640.0
https://www.bearspace.co.uk/product-page/sshhh-by-dominic-bradnum,SSHHH by Dominic Bradnum,,956,1211,640.0
https://www.bearspace.co.uk/product-page/with-tomorrow-by-chris-hawtin,With Tomorrow by Chris Hawtin,,1777,2171,940.0
https://www.bearspace.co.uk/product-page/the-chaos-by-chris-hawtin,The Chaos by Chris Hawtin,,1810,2155,940.0
https://www.bearspace.co.uk/product-page/the-reaches-by-chris-hawtin,The Reaches by Chris Hawtin,,2065,2480,940.0
https://www.bearspace.co.uk/product-page/stroke-by-deanna-lewis,"""Stroke"" by Deanna Lewis",,1889,2887,440.0
https://www.bearspace.co.uk/product-page/push-by-deanna-lewis,"""Push"" by Deanna Lewis",,1937,2897,440.0
https://www.bearspace.co.uk/product-page/the-ephemeral-isles-1-by-jane-ward,The Ephemeral Isles 1 by Jane Ward,,1063,1417,1800.0
https://www.bearspace.co.uk/product-page/meld-5-by-vic-wright,Meld 6 by Vic Wright,,4948,3299,440.0
https://www.bearspace.co.uk/product-page/meld-4-by-vic-wright,Meld 4 by Vic Wright,,4948,3299,440.0
https://www.bearspace.co.uk/product-page/purple-motion-by-dionne-cole,Purple Motion by Dionne Cole,,3696,2632,1200.0
https://www.bearspace.co.uk/product-page/shift-by-deanna-lewis,"""Shift"" by Deanna Lewis",,1892,2884,440.0
https://www.bearspace.co.uk/product-page/exchange-by-deanna-lewis,"""Exchange"" by Deanna Lewis",,2046,2878,340.0
https://www.bearspace.co.uk/product-page/point-by-deanna-lewis,"""Point"" by Deanna Lewis",,1867,2708,340.0
https://www.bearspace.co.uk/product-page/follow-by-deanna-lewis,"""Follow"" by Deanna Lewis",,1780,2544,340.0
https://www.bearspace.co.uk/product-page/emplacement-7-by-victoria-ashdown,Emplacement 7 by Victoria Ashdown,,3077,3298,240.0
https://www.bearspace.co.uk/product-page/emplacement-6-by-victoria-ashdown,Emplacement 6 by Victoria Ashdown,,3456,4608,240.0
https://www.bearspace.co.uk/product-page/emplacement-5-by-victoria-ashdown,Emplacement 5 by Victoria Ashdown,,2645,3618,240.0
https://www.bearspace.co.uk/product-page/disperse-by-dionne-cole,Disperse by Dionne Cole,,1470,1969,1400.0
https://www.bearspace.co.uk/product-page/you-took-my-breath-away-by-dominic-badnum,This Day Is Ours by Dominic Bradnum,,1111,1409,640.0
https://www.bearspace.co.uk/product-page/take-my-hand-by-dominic-badnum,Take My Hand by Dominic Badnum,,1110,1392,840.0
https://www.bearspace.co.uk/product-page/the-tide-seems-to-whisper-your-name-by-dominic-badnum,The Tide Seems To Whisper Your Name by Dominic Badnum,,1125,1411,1600.0
https://www.bearspace.co.uk/product-page/i-see-beauty-in-everything-by-dominic-badnum,I See Beauty In Everything by Dominic Badnum,,1135,1426,1600.0
https://www.bearspace.co.uk/product-page/flight-by-dionne-cole,Flight by Dionne Cole,,15837,9733,2800.0
https://www.bearspace.co.uk/product-page/shades-of-coral-ii-by-dionne-cole,Shades of Coral II by Dionne Cole,,2094,1525,490.0
https://www.bearspace.co.uk/product-page/emplacement-4-by-victoria-ashdown,Emplacement 4 by Victoria Ashdown,,3216,4326,180.0
https://www.bearspace.co.uk/product-page/emplacement-3-by-victoria-ashdown,Emplacement 3 by Victoria Ashdown,,3136,3474,180.0
https://www.bearspace.co.uk/product-page/emplacement-2-by-victoria-ashdown,Emplacement 2 by Victoria Ashdown,,3025,3862,180.0
https://www.bearspace.co.uk/product-page/emplacement-1-by-victoria-ashdown,Emplacement 1 by Victoria Ashdown,,2983,2840,140.0
https://www.bearspace.co.uk/product-page/skywalk-by-jane-ward,Skywalk by Jane Ward,,1063,832,940.0
https://www.bearspace.co.uk/product-page/yellow-wall-by-lucinda-metcalfe-1,Yellow Wall by Lucinda Metcalfe,,2225,2982,1200.0
https://www.bearspace.co.uk/product-page/the-high-way-peak-by-jane-ward,The High Way (Pass) by Jane Ward,,1063,819,940.0
https://www.bearspace.co.uk/product-page/facet-5-by-vic-wright,Facet 5 by Vic Wright,,5760,3840,140.0
https://www.bearspace.co.uk/product-page/facet-4-by-vic-wright,Facet 4 by Vic Wright,,5760,3840,140.0
https://www.bearspace.co.uk/product-page/facet-3-by-vic-wright,Facet 3 by Vic Wright,,5760,3840,140.0
https://www.bearspace.co.uk/product-page/facet-2-by-vic-wright,Facet 2 by Vic Wright,,5760,3840,140.0
https://www.bearspace.co.uk/product-page/green-sanctuary-by-dionne-cole,Green Sanctuary by Dionne Cole,,16233,11013,1200.0
https://www.bearspace.co.uk/product-page/conversation-3-by-vic-wright,Conversation 3 by Vic Wright,,5760,3840,340.0
https://www.bearspace.co.uk/product-page/bridge-over-garden-city-state-by-jane-ward,Bridge Over Garden City State by Jane Ward,,1944,2584,1800.0
https://www.bearspace.co.uk/product-page/factory-by-chris-hawtin,Factory by Chris Hawtin,,3864,2310,640.0
https://www.bearspace.co.uk/product-page/capital-drone-by-chris-hawtin,Capital Drone by Chris Hawtin,,2614,2896,640.0
https://www.bearspace.co.uk/product-page/copy-of-recon-drones-by-chris-hawtin,copy of Recon Drones by Chris Hawtin,,2814,3168,640.0
https://www.bearspace.co.uk/product-page/recon-drones-by-chris-hawtin,Recon Drones by Chris Hawtin,,2814,3168,640.0
https://www.bearspace.co.uk/product-page/sovereign,Sovereign,,2362,1788,640.0
https://www.bearspace.co.uk/product-page/conversation-2-by-vic-wright,Conversation 2 by Vic Wright,,5760,3840,320.0
https://www.bearspace.co.uk/product-page/facet-by-vic-wright,Facet by Vic Wright,,1238,825,140.0
https://www.bearspace.co.uk/product-page/ore-by-vic-wright,Ore by Vic Wright,,1345,896,140.0
https://www.bearspace.co.uk/product-page/meld-2-by-vic-wright,Meld 2 by Vic Wright,,1347,898,320.0
https://www.bearspace.co.uk/product-page/conversation-by-vic-wright,Conversation by Vic Wright,,1347,898,440.0
https://www.bearspace.co.uk/product-page/meld-1-by-vic-wright,Meld 1 by Vic Wright,,2587,1724,440.0
https://www.bearspace.co.uk/product-page/standing-white-black-gold-by-vic-wright,"Standing White , black & gold by Vic Wright",,1360,907,280.0
https://www.bearspace.co.uk/product-page/standing-grey-double-by-vic-wright,Standing Grey double by Vic Wright,,1382,922,180.0
https://www.bearspace.co.uk/product-page/standing-triple-grey-and-black-by-vic-wright,Standing Triple Grey and Black by Vic Wright,,1382,922,380.0
https://www.bearspace.co.uk/product-page/the-mortal-frame-by-chris-hawtin,The Mortal Frame by Chris Hawtin,,2467,2463,1600.0
https://www.bearspace.co.uk/product-page/the-castle-by-chris-hawtin,The Castle by Chris Hawtin,,2987,2352,1400.0
https://www.bearspace.co.uk/product-page/guiding-light-by-chris-hawtin,Guiding Light by Chris Hawtin,,2534,2848,695.0
https://www.bearspace.co.uk/product-page/loneliness-by-chris-hawtin,Loneliness by Chris Hawtin,,2463,3344,640.0
https://www.bearspace.co.uk/product-page/embers-by-chris-hawtin,Embers by Chris Hawtin,,2920,2222,640.0
https://www.bearspace.co.uk/product-page/take-our-time-someday-by-chris-hawtin,Take Our Time (Someday) by Chris Hawtin,,2644,2000,640.0
https://www.bearspace.co.uk/product-page/the-wheel-by-chris-hawtin,The Wheel by Chris Hawtin,,2953,2953,4000.0
https://www.bearspace.co.uk/product-page/venn-s-bluff-by-chris-hawtin,Venn's Bluff by Chris Hawtin,,2794,2794,3800.0
https://www.bearspace.co.uk/product-page/standing-white-and-grey-speckle-by-vic-wright,Standing White and Grey speckle by Vic Wright,,1382,922,325.0
https://www.bearspace.co.uk/product-page/meld-3-by-vic-wright,Meld 3 by Vic Wright,,1382,922,440.0
https://www.bearspace.co.uk/product-page/standing-triple-black-grey-and-white-by-vic-wright,Standing Triple Black Grey and White by Vic Wright,,1382,922,340.0
https://www.bearspace.co.uk/product-page/white-sitting-double-by-vic-wright,White Sitting Double by Vic Wright,,3847,2565,290.0
https://www.bearspace.co.uk/product-page/angel-heart-by-bella-easton,ANGEL HEART by Bella Easton,,2091,1512,3200.0
https://www.bearspace.co.uk/product-page/where-stars-dissolve-by-bella-easton,Where Stars Dissolve by Bella Easton,,2128,1535,3200.0
https://www.bearspace.co.uk/product-page/entry-point-by-joseph-stokes,Entry Point by Joseph Stokes,,2080,1604,720.0
https://www.bearspace.co.uk/product-page/ennio-fallen-by-chris-hawtin,Ennio Fallen by Chris Hawtin,,2772,2792,4000.0
https://www.bearspace.co.uk/product-page/yeti-over-mount-fuji-pantone-yellow-by-phil-ashcroft,YETI OVER MOUNT FUJI (PANTONE YELLOW) by Phil Ashcroft,,1313,964,150.0
https://www.bearspace.co.uk/product-page/summer-breeze-by-lucinda-metcalfe,Summer Breeze by Lucinda Metcalfe,,1843,2461,690.0
https://www.bearspace.co.uk/product-page/alpine-3-by-jane-ward-1,Alpine 3 by Jane Ward,,1063,798,290.0
https://www.bearspace.co.uk/product-page/alpine-3-by-jane-ward,Alpine 4 by Jane Ward,,1063,797,290.0
https://www.bearspace.co.uk/product-page/alpine-2-by-jane-ward,Alpine 2 by Jane Ward,,1063,812,290.0
https://www.bearspace.co.uk/product-page/alpine-1-by-jane-ward,Alpine 1 by Jane Ward,,1063,781,290.0
https://www.bearspace.co.uk/product-page/museum-of-now-by-john-greenwood,Museum of now by John Greenwood,,2976,3968,9800.0
https://www.bearspace.co.uk/product-page/el-dorado-by-john-greenwood,El Dorado by John Greenwood,,2502,2086,3800.0
https://www.bearspace.co.uk/product-page/spangled-by-john-greenwood,Spangled by John Greenwood,,1717,1500,3000.0
https://www.bearspace.co.uk/product-page/from-the-curved-horizon-by-jane-ward,From the Curved Horizon by Jane Ward,,785,1063,1400.0
https://www.bearspace.co.uk/product-page/to-the-zenith-sheight-by-jane-ward,To The Zenith'sHeight by Jane Ward,,795,1063,1400.0
https://www.bearspace.co.uk/product-page/and-the-sunset-by-jane-ward,And The Sunset by Jane Ward,,838,1063,840.0
https://www.bearspace.co.uk/product-page/overland-4-by-jane-ward,Overland 4 by Jane Ward,,799,1063,1400.0
https://www.bearspace.co.uk/product-page/overland-3-by-jane-ward,Overland 3 by Jane Ward,,799,1063,1400.0
https://www.bearspace.co.uk/product-page/overland-2-by-jane-ward,Overland 2 by Jane Ward,,799,1063,1400.0
https://www.bearspace.co.uk/product-page/overland-1-by-jane-ward,Overland 1 by Jane Ward,,799,1063,1400.0
https://www.bearspace.co.uk/product-page/chiral-ii-by-bella-easton,Chiral II by Bella Easton,,2111,3801,940.0
https://www.bearspace.co.uk/product-page/chiral-iii-by-bella-easton,Chiral III by Bella Easton,,2111,3801,940.0
https://www.bearspace.co.uk/product-page/chiral-iv-by-bella-easton,Chiral IV by Bella Easton,,2111,3801,940.0
https://www.bearspace.co.uk/product-page/chiral-v-by-bella-easton,Chiral V by Bella Easton,,2111,3801,940.0
https://www.bearspace.co.uk/product-page/chiral-vi-by-bella-easton,Chiral VI by Bella Easton,,2111,3801,940.0
https://www.bearspace.co.uk/product-page/myriorama-room-series-fireplace-ii-by-bella-easton,MYRIORAMA ROOM series – FIREPLACE II by Bella Easton,,2268,1694,2800.0
https://www.bearspace.co.uk/product-page/myriorama-room-series-lamp-by-bella-easton,MYRIORAMA ROOM series - LAMP by Bella Easton,,2551,1907,2800.0
https://www.bearspace.co.uk/product-page/myriorama-room-series-armchair-by-bella-easton,MYRIORAMA ROOM series –ARMCHAIR by Bella Easton,,2525,1900,2800.0
https://www.bearspace.co.uk/product-page/the-dawn-chorus-by-chris-hawtin,The Dawn Chorus by Chris Hawtin,,1304,1240,3800.0
https://www.bearspace.co.uk/product-page/the-hidden-city-by-chris-hawtin,The Hidden City by Chris Hawtin,,971,1134,1600.0
https://www.bearspace.co.uk/product-page/march-by-chris-hawtin,March by Chris Hawtin,,1100,1181,940.0
https://www.bearspace.co.uk/product-page/the-vandal-by-chris-hawtin,The Vandal by Chris Hawtin,,1553,1134,250.0
https://www.bearspace.co.uk/product-page/the-scientist-by-chris-hawtin,The Scientist by Chris Hawtin,,1527,1134,250.0
https://www.bearspace.co.uk/product-page/tilt-by-chris-hawton,Tilt by Chris Hawton,,1262,1134,800.0
https://www.bearspace.co.uk/product-page/the-cope-marsh-station,The Cope Marsh Station by Chris Hawtin,,1153,1134,1400.0
https://www.bearspace.co.uk/product-page/seth-s-narrows-by-chris-hawtin,Seth's Narrows by Chris Hawtin,,1353,1134,800.0
https://www.bearspace.co.uk/product-page/relic-engines-by-chris-hawtin,Relic Engines by Chris Hawtin,,1269,1134,690.0
https://www.bearspace.co.uk/product-page/protist-peak-by-chris-hawtin,Protist Peak by Chris Hawtin,,909,1134,690.0
https://www.bearspace.co.uk/product-page/photeus-at-the-pythia-by-chris-hawtin,Photeus at the Pythia by Chris Hawtin,,1119,1134,1200.0
https://www.bearspace.co.uk/product-page/jerome-s-peak-by-chris-hawtin,Jerome's Peak by Chris Hawtin,,1037,1134,2400.0
https://www.bearspace.co.uk/product-page/gregor-s-hollow-by-chris-hawtin,Gregor's Hollow by Chris Hawtin,,1137,1134,4000.0
https://www.bearspace.co.uk/product-page/anxiety-machines,Anxiety Machines by Chris Hawtin,,1139,1134,1600.0
https://www.bearspace.co.uk/product-page/under-a-bruised-and-leaden-sky-by-dominic-badnum,Under A Bruised And Leaden Sky by Dominic Badnum,,1134,1147,1600.0
https://www.bearspace.co.uk/product-page/i-crash-into-your-arms,I Crash Into Your Arms by Dominic Bradnum,,1122,1587,1400.0
https://www.bearspace.co.uk/product-page/then-all-was-calm,Then All Was Calm... by Dominic Bradnum,,1113,1528,2400.0
https://www.bearspace.co.uk/product-page/garden-city-state-1c-by-jane-ward,Garden City State 1c by Jane Ward,,319,425,490.0
https://www.bearspace.co.uk/product-page/garden-city-state-1b-by-jane-ward,Garden City State 1b by Jane Ward,,318,425,490.0
https://www.bearspace.co.uk/product-page/garden-city-state-1a-by-jane-ward,Garden City State 1a by Jane Ward,,425,319,490.0
https://www.bearspace.co.uk/product-page/secret-place-by-natasha-kissell,Secret Place by Natasha Kissell,,2225,2598,940.0
https://www.bearspace.co.uk/product-page/heated-discussion-by-lucinda-metcalfe,Heated Discussion by Lucinda Metcalfe,,2516,2179,640.0
https://www.bearspace.co.uk/product-page/amongst-the-impcat-scars,Amongst the Impcat Scars by Jane Ward,,1417,1055,1400.0
https://www.bearspace.co.uk/product-page/castle-by-jane-ward,Castle by Jane Ward,,1063,831,940.0
https://www.bearspace.co.uk/product-page/sky-walk-by-jane-ward,Sky Walk by Jane ward,,1063,832,940.0
https://www.bearspace.co.uk/product-page/jubellied-joy-song-by-nadja-gabriela-plein,Jubellied (joy song) by Nadja Gabriela Plein,,3456,2784,490.0
https://www.bearspace.co.uk/product-page/neon-pool,Lucinda Metcalfe - Neon Pool,,490,640,640.0
https://www.bearspace.co.uk/product-page/moving-from-the-side-of-the-vallery,Moving from the side of the valley by Janie Kidston,,280,210,540.0
https://www.bearspace.co.uk/product-page/walking-out-over-ice-in-midsummer-1,Walking Out Over Ice in Midsummer 1 by Janie Kidston,,3508,2477,940.0
https://www.bearspace.co.uk/product-page/retreating-then-advancing-repeatedly-over-the-centuries-6-by-janie-kidston,"'Retreating, then advancing repeatedly over the centuries 6' by Janie Kidston",,2953,2953,540.0
https://www.bearspace.co.uk/product-page/retreating-then-advancing-repeatedly-over-the-centuries-3-by-janie-kidston,"'Retreating, then advancing repeatedly over the centuries 3' by Janie Kidston",,8100,8100,540.0
https://www.bearspace.co.uk/product-page/retreating-then-advancing-repeatedly-over-the-centuries-5,"'Retreating, then advancing repeatedly over the centuries'5 by Janie Kidston",,2937,2937,540.0
https://www.bearspace.co.uk/product-page/bayou,Bayou,,351,800,690.0
https://www.bearspace.co.uk/product-page/gloaming-by-suzanne-moxhay,Gloaming by Suzanne Moxhay,,600,752,690.0
https://www.bearspace.co.uk/product-page/athne-by-suzanne-moxhay,Athne by Suzanne Moxhay,,989,2000,690.0
https://www.bearspace.co.uk/product-page/boondocks-by-suzanne-moxhay,Boondocks by Suzanne Moxhay,,395,800,690.0
https://www.bearspace.co.uk/product-page/feralis-by-suzanne-moxhay,Feralis by Suzanne Moxhay,,1421,1772,690.0
https://www.bearspace.co.uk/product-page/gcs-high-rise-jane-ward,(GCS) High Rise - Jane Ward,,956,709,990.0
